"target_id"	"length"	"eff_length"	"est_counts"	"tpm"
"812"	"ENSMUST00000006911.11"	2053	1953.02	6905.95	97.332
"991"	"ENSMUST00000001836.10"	2572	2472.02	3471.36	38.6533
"1188"	"ENSMUST00000015236.3"	722	622.15	4302.65	190.361
"1193"	"ENSMUST00000018905.11"	1321	1221.02	5104.99	115.083
"1460"	"ENSMUST00000008594.8"	948	848.019	6442.35	209.111
"2167"	"ENSMUST00000020449.11"	4554	4454.02	4252.63	26.2811
"3006"	"ENSMUST00000003386.6"	1288	1188.02	2885.28	66.8502
"3290"	"ENSMUST00000017288.8"	2828	2728.02	1792.95	18.0909
"3293"	"ENSMUST00000017783.12"	7156	7056.02	2559.27	9.98379
"3811"	"ENSMUST00000020484.7"	3325	3225.02	4743.41	40.4853
"3852"	"ENSMUST00000004786.9"	1148	1048.02	8945.66	234.953
"4103"	"ENSMUST00000016081.12"	2046	1946.02	4153.7	58.7525
"4126"	"ENSMUST00000020081.10"	1834	1734.02	3082.04	48.9242
"4563"	"ENSMUST00000019135.13"	3816	3716.02	2883.9	21.3619
"4604"	"ENSMUST00000019441.8"	3694	3594.02	2930.77	22.446
"4628"	"ENSMUST00000022522.14"	1881	1781.02	21897.9	338.433
"4736"	"ENSMUST00000007130.14"	3623	3523.02	17933.4	140.115
"4858"	"ENSMUST00000018212.12"	5906	5806.02	3376.01	16.0053
"4915"	"ENSMUST00000006973.11"	3043	2943.02	2396.23	22.4117
"4917"	"ENSMUST00000013773.11"	7137	7037.02	12437	48.6481
"5248"	"ENSMUST00000010007.8"	1142	1042.02	4022.45	106.256
"5499"	"ENSMUST00000019962.14"	2922	2822.02	13959.1	136.156
"6576"	"ENSMUST00000018572.10"	3758	3658.02	11042.2	83.0897
"6638"	"ENSMUST00000008907.13"	7969	7869.02	2897.06	10.1339
"6748"	"ENSMUST00000020203.6"	861	761.019	3105.1	112.31
"7615"	"ENSMUST00000021933.7"	1971	1871.02	6575.68	96.7389
"7706"	"ENSMUST00000004684.12"	5271	5171.02	4489.76	23.8993
"7772"	"ENSMUST00000023128.7"	4382	4282.02	3477.17	22.352
"7805"	"ENSMUST00000021368.9"	4732	4632.02	2776.67	16.5003
"7840"	"ENSMUST00000017065.14"	1666	1566.02	5368.82	94.3671
"7855"	"ENSMUST00000018430.6"	798	698.019	7514.61	296.332
"8467"	"ENSMUST00000000175.5"	1231	1131.02	3442	83.7683
"8806"	"ENSMUST00000020504.5"	636	536.15	7452.11	382.588
"8912"	"ENSMUST00000021282.11"	6373	6273.02	8268.11	36.28
"8935"	"ENSMUST00000000287.8"	2097	1997.02	11011	151.769
"9274"	"ENSMUST00000002043.9"	5193	5093.02	4455.39	24.0796
"9294"	"ENSMUST00000017692.14"	4373	4273.02	13121	84.5218
"9644"	"ENSMUST00000021090.13"	2709	2609.02	4606.32	48.5976
"9956"	"ENSMUST00000020630.7"	4618	4518.02	30474.9	185.666
"9988"	"ENSMUST00000015791.5"	11388	11288	21615.6	52.7093
"10157"	"ENSMUST00000012540.4"	2211	2111.02	36606.5	477.314
"10669"	"ENSMUST00000002855.13"	1599	1499.02	5102.78	93.6997
"10759"	"ENSMUST00000018005.9"	3651	3551.02	31788	246.405
"10874"	"ENSMUST00000006467.13"	1404	1304.02	2797.58	59.0524
"10924"	"ENSMUST00000020488.8"	123179	123079	229236	51.2669
"10960"	"ENSMUST00000005336.8"	2313	2213.02	10406.2	129.433
"11626"	"ENSMUST00000008477.12"	2061	1961.02	2987.18	41.9293
"11932"	"ENSMUST00000020550.12"	1266	1166.02	3184.02	75.1639
"12114"	"ENSMUST00000006462.13"	1817	1717.02	3943.63	63.2206
"12464"	"ENSMUST00000001845.12"	1600	1500.02	3150.44	57.8113
"12609"	"ENSMUST00000021239.6"	2837	2737.02	12732.7	128.05
"13140"	"ENSMUST00000021135.4"	12106	12006	2830.15	6.48857
"13518"	"ENSMUST00000008748.7"	3330	3230.02	9387	79.9945
"13657"	"ENSMUST00000016072.11"	5177	5077.02	15400.8	83.4972
"13972"	"ENSMUST00000019615.10"	7851	7751.02	5591.31	19.8561
"14048"	"ENSMUST00000009772.7"	8405	8305.02	2370.27	7.85591
"14103"	"ENSMUST00000000804.6"	4692	4592.02	24026.4	144.02
"14756"	"ENSMUST00000003156.14"	931	831.019	7174.88	237.653
"15271"	"ENSMUST00000005057.6"	2832	2732.02	4787.62	48.2364
"15431"	"ENSMUST00000016143.8"	5196	5096.02	2648.92	14.3079
"15494"	"ENSMUST00000021046.5"	4011	3911.02	5907.95	41.5801
"15632"	"ENSMUST00000021048.6"	3144	3044.02	10760.2	97.2996
"15654"	"ENSMUST00000008036.8"	499	399.285	92946.1	6407.47
"16138"	"ENSMUST00000018851.13"	14342	14242	40431	78.1414
"16305"	"ENSMUST00000022038.14"	3793	3693.02	6170.6	45.9922
"16323"	"ENSMUST00000021049.8"	1316	1216.02	7588.9	171.782
"16377"	"ENSMUST00000006614.2"	3913	3813.02	8143.64	58.7879
"16449"	"ENSMUST00000001724.11"	2258	2158.02	6611.37	84.3285
"16673"	"ENSMUST00000023467.8"	5741	5641.02	4991.87	24.3581
"16951"	"ENSMUST00000019614.12"	2677	2577.02	3489.98	37.2773
"17294"	"ENSMUST00000001592.14"	3205	3105.02	5864.29	51.9864
"17341"	"ENSMUST00000019118.7"	4447	4347.02	4789.76	30.3292
"17620"	"ENSMUST00000021297.5"	2256	2156.02	6399.56	81.7026
"17681"	"ENSMUST00000006128.6"	2720	2620.02	6646.42	69.8267
"17810"	"ENSMUST00000021311.9"	3326	3226.02	4525.51	38.6135
"18181"	"ENSMUST00000021313.8"	1744	1644.02	5262.87	88.1159
"18195"	"ENSMUST00000021314.7"	4861	4761.02	6049.51	34.9751
"18739"	"ENSMUST00000021114.4"	1406	1306.02	3329	70.1621
"18859"	"ENSMUST00000000312.11"	4430	4330.02	30473.6	193.719
"18989"	"ENSMUST00000019283.9"	1836	1736.02	2591.06	41.0829
"19962"	"ENSMUST00000002825.5"	6492	6392.02	10173.2	43.8087
"20116"	"ENSMUST00000002529.6"	3054	2954.02	4103.8	38.2394
"20202"	"ENSMUST00000005651.12"	2636	2536.02	3465.2	37.6109
"20252"	"ENSMUST00000019323.10"	1456	1356.02	10564.1	214.439
"20298"	"ENSMUST00000005077.6"	903	803.019	22413.7	768.294
"20720"	"ENSMUST00000023353.3"	3589	3489.02	14005	110.489
"20770"	"ENSMUST00000001416.6"	1987	1887.02	3496.2	50.9986
"20944"	"ENSMUST00000022586.1"	3974	3874.02	2866.14	20.3645
"21074"	"ENSMUST00000007482.6"	1722	1622.02	2735.32	46.4185
"21085"	"ENSMUST00000012587.3"	4819	4719.02	3477.76	20.2855
"21207"	"ENSMUST00000022480.7"	3449	3349.02	4089	33.6076
"21277"	"ENSMUST00000011896.6"	1831	1731.02	39700.2	631.291
"21441"	"ENSMUST00000001419.8"	2257	2157.02	4680.25	59.7246
"21450"	"ENSMUST00000002839.8"	2926	2826.02	5489.99	53.473
"21543"	"ENSMUST00000022577.5"	6151	6051.02	7270	33.0708
"21613"	"ENSMUST00000023283.5"	2906	2806.02	2963	29.0656
"21627"	"ENSMUST00000002733.6"	1717	1617.02	4765	81.1122
"21978"	"ENSMUST00000010807.4"	3456	3356.02	4233	34.7186
"22277"	"ENSMUST00000023101.9"	3932	3832.02	10416.9	74.8253
"22387"	"ENSMUST00000002699.5"	3695	3595.02	9802.19	75.0517
"22701"	"ENSMUST00000001975.4"	4300	4200.02	15310.6	100.341
"22807"	"ENSMUST00000014684.4"	907	807.019	7832.83	267.161
"23086"	"ENSMUST00000001326.6"	7754	7654.02	11688.7	42.0353
