"target_id"	"length"	"eff_length"	"est_counts"	"tpm"
"812"	"ENSMUST00000006911.11"	2053	1948.97	4556.45	74.4582
"991"	"ENSMUST00000001836.10"	2572	2467.97	2855.91	36.855
"1188"	"ENSMUST00000015236.3"	722	617.974	3564.05	183.682
"1193"	"ENSMUST00000018905.11"	1321	1216.97	4139.76	108.339
"1460"	"ENSMUST00000008594.8"	948	843.974	4793.4	180.887
"2167"	"ENSMUST00000020449.11"	4554	4449.97	3769.84	26.9809
"3006"	"ENSMUST00000003386.6"	1288	1183.97	2519.55	67.7756
"3290"	"ENSMUST00000017288.8"	2828	2723.97	1461.44	17.0872
"3293"	"ENSMUST00000017783.12"	7156	7051.97	3097.62	13.9897
"3811"	"ENSMUST00000020484.7"	3325	3220.97	5009.29	49.5314
"3852"	"ENSMUST00000004786.9"	1148	1043.97	7042.47	214.846
"4103"	"ENSMUST00000016081.12"	2046	1941.97	7745.85	127.033
"4126"	"ENSMUST00000020081.10"	1834	1729.97	3967.75	73.046
"4563"	"ENSMUST00000019135.13"	3816	3711.97	2514.45	21.574
"4604"	"ENSMUST00000019441.8"	3694	3589.97	1943.94	17.2458
"4628"	"ENSMUST00000022522.14"	1881	1776.97	14298.5	256.272
"4736"	"ENSMUST00000007130.14"	3623	3518.97	16112	145.823
"4858"	"ENSMUST00000018212.12"	5906	5801.97	3778.59	20.7418
"4915"	"ENSMUST00000006973.11"	3043	2938.97	3076.47	33.3387
"4917"	"ENSMUST00000013773.11"	7137	7032.97	9476.9	42.916
"5248"	"ENSMUST00000010007.8"	1142	1037.97	3936.34	120.781
"5499"	"ENSMUST00000019962.14"	2922	2817.97	8627.26	97.5053
"6576"	"ENSMUST00000018572.10"	3758	3653.97	8339.23	72.6863
"6638"	"ENSMUST00000008907.13"	7969	7864.97	1834.77	7.42979
"6748"	"ENSMUST00000020203.6"	861	756.974	2629.99	110.654
"7615"	"ENSMUST00000021933.7"	1971	1866.97	7582.53	129.35
"7706"	"ENSMUST00000004684.12"	5271	5166.97	3382.86	20.8516
"7772"	"ENSMUST00000023128.7"	4382	4277.97	2467.77	18.3721
"7805"	"ENSMUST00000021368.9"	4732	4627.97	2374.27	16.3392
"7840"	"ENSMUST00000017065.14"	1666	1561.97	3379.79	68.9142
"7855"	"ENSMUST00000018430.6"	798	693.974	6888.05	316.115
"8467"	"ENSMUST00000000175.5"	1231	1126.97	2805	79.2704
"8806"	"ENSMUST00000020504.5"	636	531.974	7919.26	474.118
"8912"	"ENSMUST00000021282.11"	6373	6268.97	8338.41	42.3623
"8935"	"ENSMUST00000000287.8"	2097	1992.97	9753	155.858
"9274"	"ENSMUST00000002043.9"	5193	5088.97	4000.72	25.038
"9294"	"ENSMUST00000017692.14"	4373	4268.97	21695	161.855
"9644"	"ENSMUST00000021090.13"	2709	2604.97	4829.58	59.0471
"9956"	"ENSMUST00000020630.7"	4618	4513.97	27694.9	195.404
"9988"	"ENSMUST00000015791.5"	11388	11284	18746.6	52.9119
"10157"	"ENSMUST00000012540.4"	2211	2106.97	35597.9	538.094
"10669"	"ENSMUST00000002855.13"	1599	1494.97	3998.32	85.1798
"10759"	"ENSMUST00000018005.9"	3651	3546.97	22965.3	206.208
"10874"	"ENSMUST00000006467.13"	1404	1299.97	2131.3	52.2158
"10924"	"ENSMUST00000020488.8"	123179	123075	120243	31.116
"10960"	"ENSMUST00000005336.8"	2313	2208.97	8621.65	124.306
"11626"	"ENSMUST00000008477.12"	2061	1956.97	2310.76	37.6064
"11932"	"ENSMUST00000020550.12"	1266	1161.97	2700.61	74.0214
"12114"	"ENSMUST00000006462.13"	1817	1712.97	3768.72	70.0706
"12464"	"ENSMUST00000001845.12"	1600	1495.97	6218.81	132.396
"12609"	"ENSMUST00000021239.6"	2837	2732.97	11603.7	135.223
"13140"	"ENSMUST00000021135.4"	12106	12002	3317.74	8.80404
"13518"	"ENSMUST00000008748.7"	3330	3225.97	7150.11	70.5901
"13657"	"ENSMUST00000016072.11"	5177	5072.97	14795.5	92.8881
"13972"	"ENSMUST00000019615.10"	7851	7746.97	4764.59	19.5878
"14048"	"ENSMUST00000009772.7"	8405	8300.97	891.774	3.42151
"14103"	"ENSMUST00000000804.6"	4692	4587.97	23161.5	160.782
"14756"	"ENSMUST00000003156.14"	931	826.974	6739.87	259.568
"15271"	"ENSMUST00000005057.6"	2832	2727.97	4439.6	51.8318
"15431"	"ENSMUST00000016143.8"	5196	5091.97	2738.08	17.1258
"15494"	"ENSMUST00000021046.5"	4011	3906.97	6401.28	52.1817
"15632"	"ENSMUST00000021048.6"	3144	3039.97	10173.7	106.586
"15654"	"ENSMUST00000008036.8"	499	394.974	112466	9068.7
"16138"	"ENSMUST00000018851.13"	14342	14238	33712.5	75.411
"16305"	"ENSMUST00000022038.14"	3793	3688.97	4174.79	36.043
"16323"	"ENSMUST00000021049.8"	1316	1211.97	7810.31	205.242
"16377"	"ENSMUST00000006614.2"	3913	3808.97	5148.36	43.048
"16449"	"ENSMUST00000001724.11"	2258	2153.97	4854.21	71.7745
"16673"	"ENSMUST00000023467.8"	5741	5636.97	6096.98	34.4477
"16951"	"ENSMUST00000019614.12"	2677	2572.97	2461.45	30.4683
"17294"	"ENSMUST00000001592.14"	3205	3100.97	5580.76	57.3175
"17341"	"ENSMUST00000019118.7"	4447	4342.97	4170.68	30.5852
"17620"	"ENSMUST00000021297.5"	2256	2151.97	5658.96	83.7513
"17681"	"ENSMUST00000006128.6"	2720	2615.97	2628.82	32.0051
"17810"	"ENSMUST00000021311.9"	3326	3221.97	3748.56	37.054
"18181"	"ENSMUST00000021313.8"	1744	1639.97	4445.8	86.3387
"18195"	"ENSMUST00000021314.7"	4861	4756.97	6748.94	45.1853
"18739"	"ENSMUST00000021114.4"	1406	1301.97	3185	77.9111
"18859"	"ENSMUST00000000312.11"	4430	4325.97	24600.2	181.112
"18989"	"ENSMUST00000019283.9"	1836	1731.97	2320.15	42.6646
"19962"	"ENSMUST00000002825.5"	6492	6387.97	9220.33	45.9701
"20116"	"ENSMUST00000002529.6"	3054	2949.97	3801.36	41.0406
"20202"	"ENSMUST00000005651.12"	2636	2531.97	1802.46	22.6725
"20252"	"ENSMUST00000019323.10"	1456	1351.97	9112.91	214.675
"20298"	"ENSMUST00000005077.6"	903	798.974	18908.6	753.735
"20720"	"ENSMUST00000023353.3"	3589	3484.97	9184.99	83.9405
"20770"	"ENSMUST00000001416.6"	1987	1882.97	3019.56	51.0731
"20944"	"ENSMUST00000022586.1"	3974	3869.97	2071.7	17.0495
"21074"	"ENSMUST00000007482.6"	1722	1617.97	2240.23	44.0974
"21085"	"ENSMUST00000012587.3"	4819	4714.97	3026.81	20.4455
"21207"	"ENSMUST00000022480.7"	3449	3344.97	5209	49.5968
"21277"	"ENSMUST00000011896.6"	1831	1726.97	22741.4	419.396
"21441"	"ENSMUST00000001419.8"	2257	2152.97	4460.74	65.9872
"21450"	"ENSMUST00000002839.8"	2926	2821.97	4222.05	47.65
"21543"	"ENSMUST00000022577.5"	6151	6046.97	5802	30.5585
